Date,Open,High,Low,Close,Weighted,Volume
2013-08-30 23:08:00,132.45,188.14,105.97,136.43,131.315907,45288.23
2013-08-31 03:08:00,136.43,172.63,109.86,136.14,134.155804,10539.28
2013-08-31 07:08:00,136.14,172.22,116.86,157.63,132.669833,3491.87
2013-08-31 11:08:00,157.63,157.63,132.68,132.68,132.684366,8.996
2013-08-31 15:08:00,132.68,193.5,125.13,135.83,139.187005,14052.32
2013-08-31 19:08:00,135.83,195.66,118.71,144.04,139.368961,30864.65
2013-08-31 23:08:00,144.04,201,115.35,162.16,143.522869,14465.67
2013-09-01 03:09:00,162.16,162.16,129.96,130.72,134.36088,5495.36
2013-09-01 07:09:00,130.72,203.24,122.42,155.72,146.124801,2751.53
2013-09-01 11:09:00,155.72,155.72,132.46,132.46,132.464859,263.87
2013-09-01 15:09:00,132.46,162.36,117.15,161.21,141.294331,3513.99
2013-09-01 19:09:00,161.21,202.13,128.47,151.65,153.233048,3931.96
2013-09-01 23:09:00,151.65,195.42,108.9,145.1,141.482914,7204.31
2013-09-02 03:09:00,145.1,201.08,119.25,159.26,153.961508,7679.6
2013-09-02 07:09:00,159.26,190.33,131.58,144.22,145.469653,3475.27
2013-09-02 11:09:00,144.22,144.22,139.7,139.7,139.697322,1200
2013-09-02 15:09:00,139.7,205.42,130.74,157.54,152.403092,2563.42
2013-09-02 19:09:00,157.54,203.93,120.9,150.97,155.141417,6154.46
2013-09-02 23:09:00,150.97,197.25,117.15,128.34,144.109235,9300.81
2013-09-03 03:09:00,128.34,194.92,109.75,129.02,144.987613,11353.98
2013-09-03 07:09:00,129.02,163.85,129.02,131.35,140.54169,2545.21
2013-09-03 11:09:00,131.35,195.36,131.35,195.36,154.015632,3349.84
2013-09-03 15:09:00,195.36,195.36,125.94,166.06,136.252839,30118.69
2013-09-03 19:09:00,166.06,196.35,103.18,140.43,137.894919,75744.3
2013-09-03 23:09:00,140.43,195,121.23,149.22,138.808524,49078.53
2013-09-04 03:09:00,149.22,195.22,115.5,127.8,143.110204,13674.18
2013-09-04 07:09:00,127.8,193.56,107.12,193.56,138.024016,7816.3
2013-09-04 11:09:00,193.56,193.56,127.93,142.68,144.440228,2283.6
2013-09-04 15:09:00,142.68,194.36,110.9,138.06,142.727002,22977.62
2013-09-04 19:09:00,138.06,201.56,125.94,142.5,137.709539,59476.75
2013-09-04 23:09:00,142.5,146.15,110.67,136.65,132.642033,49752.7
2013-09-05 03:09:00,136.65,183.22,111.72,139.39,131.637302,9055.33
2013-09-05 07:09:00,139.39,183.68,115.33,183.68,129.204561,5779.32
2013-09-05 11:09:00,183.68,183.68,119.41,122.24,128.1088,2402.04
2013-09-05 15:09:00,122.24,176.65,115.96,132.16,125.347226,16450.57
2013-09-05 19:09:00,132.16,182.02,112.33,133.31,131.164535,78761.68
2013-09-05 23:09:00,133.31,175.5,111.77,148.95,128.258761,60753.61
2013-09-06 03:09:00,148.95,185.39,116.77,120.54,131.394834,9208.15
2013-09-06 07:09:00,120.54,184.8,105.45,137.28,131.263693,2971.81
2013-09-06 11:09:00,137.28,137.28,121.04,126.98,125.453718,964.99
2013-09-06 15:09:00,126.98,177.73,117.91,130.64,130.727904,15057.24
2013-09-06 19:09:00,130.64,184.5,107.02,142.57,127.228373,56401.61
2013-09-06 23:09:00,142.57,178.54,113.03,123.77,125.431146,44467.85
2013-09-07 03:09:00,123.77,191.6,111.02,129.12,132.619469,17983.2
2013-09-07 07:09:00,129.12,181.34,113.12,135.56,138.720097,2864.57
2013-09-07 11:09:00,135.56,184.26,100.81,184.26,155.323898,3347.23
2013-09-07 15:09:00,184.26,184.26,113.09,136.08,128.835066,7561.33
2013-09-07 19:09:00,136.08,189.15,113.64,179.12,135.165143,42429.69
2013-09-07 23:09:00,179.12,180.14,110.85,115.59,125.273031,11231.98
2013-09-08 03:09:00,115.59,161.27,111.59,118.75,128.281946,8121.53
2013-09-08 07:09:00,118.75,181.04,114.48,133.66,125.564866,3416.62
2013-09-08 11:09:00,133.66,180,133.66,179.56,176.187199,256
